id,title,tempo,zero_crossing_rating,pitch,loudness,length
1444,운 듯,178.205819,12055,288.7042052,3484224,288.7042052
1445,나를 사랑하지 않는 그대에게,151.9990809,11247,396.15148,5636160,396.15148
1446,그대가 이렇게 내 맘에,166.7086694,18466,315.8766816,4412472,315.8766816
1447,라라라,156.6051136,15205,398.3970229,6055488,398.3970229
1448,휠릴리,178.205819,33077,570.6333247,5742744,570.6333247
1449,Grace (Feat. 이기찬),120.1853198,27336,583.7594772,5247360,583.7594772
1450,어떻게 사랑이 그래요,123.046875,10507,496.911459,6507096,496.911459
1451,나는 이영지,92.28515625,22471,573.9624465,4027128,573.9624465
1452,암실,129.1992188,50167,744.8332198,3357816,744.8332198
1453,사랑아 (With 서지우),135.9991776,15548,593.2917775,5554944,593.2917775
1454,잠시만 안녕,143.5546875,7391,665.9942119,6368832,665.9942119
1455,시간아 천천히,89.10290948,12640,470.8586594,3295872,470.8586594
1456,"1,2,3,4 (원,투,쓰리,포)",114.84375,23010,623.2487078,4726656,623.2487078
1457,구원자 (Feat. B.I),95.703125,17627,424.9779167,4753098,424.9779167
1458,빨간 립스틱 (Feat. 윤미래),107.6660156,34062,909.7989635,4130406,909.7989635
1459,누구 없소 (NO ONE) (Feat. B.I),92.28515625,18626,661.3908601,4290936,661.3908601
1460,Rose,84.72079918,45317,616.2462675,4903488,616.2462675
1461,For You (Feat. Crush),172.265625,26738,417.8758311,4522896,417.8758311
1462,홀로 크리스마스,178.205819,19994,462.4427058,3936696,462.4427058
1463,그대라는 계절,147.65625,18383,500.8156916,5798328,500.8156916
1464,미운 날,120.1853198,14071,555.1355877,6119160,555.1355877
1465,너의 뒤에서,147.65625,11981,558.1880519,6477696,558.1880519
1466,Black,132.5120192,14725,584.5571144,5651448,584.5571144
1467,Chitty Chitty Bang Bang (Feat. Ceejay Of Freshboyz),87.59269068,41687,969.9293322,4503768,969.9293322
1468,U-Go-Girl (With 낯선),101.3327206,42622,735.4764056,4144920,735.4764056
1469,미스코리아,126.0480183,22679,508.1232091,5197824,508.1232091
1470,Bad Girls,151.9990809,35450,704.2657984,4576320,704.2657984
1471,톡!톡!톡! (Toc Toc Toc),120.1853198,54919,737.2989507,4245144,737.2989507
1472,내꺼하자,129.1992188,13105,719.1696491,4514112,719.1696491
1473,파라다이스 (Paradise),92.28515625,36499,757.3913293,4749120,757.3913293
